registrySchemaVersion	2
id	title	subject	category	topic	environmentFamily	executorKind	inputs	outputs	widget	widgetSizes	compact	offlinePolicy	liveDataPolicy	historyPolicy	schemaVersion	aliases
graph-hyperbola	Hyperbola Graph	MATH	Graphing	Hyperbola	GraphTool	GRAPH	h:NUMBER;k:NUMBER;a:NUMBER;b:NUMBER;orientation:SELECT{horizontal,vertical}	graph:GRAPH	true	LARGE,MEDIUM,SMALL	true	OFFLINE_FULL	NONE	SAVE	1	hyperbola
graph-line	Line Graph	MATH	Graphing	Line	GraphTool	GRAPH	m:NUMBER?;b:NUMBER?;x1:NUMBER?;y1:NUMBER?;x2:NUMBER?;y2:NUMBER?	graph:GRAPH	false		false	OFFLINE_FULL	NONE	SAVE	1	line|linear graph
graph-parabola	Parabola	MATH	Graphing	Parabola	GraphTool	GRAPH	a:NUMBER;h:NUMBER?;k:NUMBER?;b:NUMBER?;c:NUMBER?;form:SELECT?{vertex,standard}	graph:GRAPH	true	LARGE,MEDIUM,SMALL	true	OFFLINE_FULL	NONE	SAVE	1	parabola graph|quadratic graph
line-slope	Slope	GEOMETRY	Coordinate Geometry	Line	GeometryTool	GEOMETRY	x1:NUMBER;y1:NUMBER;x2:NUMBER;y2:NUMBER	slope:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
linear-equation	Linear Equation Solver	MATH	Algebra	Linear equations	EquationSolver	POLYNOMIAL	a:NUMBER;b:NUMBER;rhs:NUMBER?	root:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	first degree equation|linear equation
linear-inequality	Linear Inequality Solver	MATH	Algebra	Inequalities	EquationSolver	MATH_UTILITY	a:NUMBER;b:NUMBER;operator:SELECT{<,<=,>,>=};rhs:NUMBER	solution:TEXT	false		false	OFFLINE_FULL	NONE	SAVE	1	inequality|linear inequality
linear-system	System of Linear Equations	MATH	Algebra	Systems of equations	EquationSolver	EXPRESSION	expression:TEXT	solution:STRUCTURED	false		false	OFFLINE_FULL	NONE	SAVE	1	linear system|simultaneous equations
loan-payment	Loan Payment	FINANCE	Loans	Amortization	FinanceTool	FINANCE	principal:NUMBER;annualRate:NUMBER;months:INTEGER	monthlyPayment:NUMBER;totalPaid:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	loan|monthly payment
matrix-tool	Matrix Calculator	MATH	Linear Algebra	Matrices	MatrixTool	MATRIX	operation:SELECT{add,subtract,multiply,transpose,determinant,inverse,rank,solve};a:MATRIX;b:MATRIX?	result:MATRIX	false		false	OFFLINE_FULL	NONE	SAVE	1	determinant|inverse matrix|matrix
mean	Mean	STATISTICS	Descriptive Statistics	Dataset	StatisticsTool	STATISTICS	data:DATASET;operation:SELECT?{mean}	result:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
median	Median	STATISTICS	Descriptive Statistics	Dataset	StatisticsTool	STATISTICS	data:DATASET;operation:SELECT?{median}	result:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
mode	Mode	STATISTICS	Descriptive Statistics	Dataset	StatisticsTool	STATISTICS	data:DATASET;operation:SELECT?{mode}	result:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
molar-mass	Molar Mass	CHEMISTRY	Amount of Substance	Chemical formulas	FormulaSolver	CHEMISTRY	formula:TEXT	molarMass:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	formula mass|molecular weight
percent-composition	Percent Composition	CHEMISTRY	Composition	Chemical formulas	FormulaSolver	CHEMISTRY	formula:TEXT	composition:STRUCTURED	false		false	OFFLINE_FULL	NONE	SAVE	1	
percentage-of	Percentage Of	MATH	Arithmetic	Percentages	FormulaSolver	FORMULA	percent:NUMBER;value:NUMBER;result:NUMBER?	result:NUMBER;percent:NUMBER;value:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	percent of|percentage
percentile	Percentile / Quantile	STATISTICS	Descriptive Statistics	Quantiles	StatisticsTool	STATISTICS	data:DATASET;percentile:NUMBER	result:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
permutations-combinations	Permutations / Combinations	MATH	Probability	Combinatorics	FormulaSolver	MATH_UTILITY	n:INTEGER;r:INTEGER	nPr:NUMBER;nCr:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	combinations|ncr|npr|permutations
physics-acceleration	Acceleration	PHYSICS	Physics	Motion	FormulaSolver	FORMULA	a:NUMBER[m/s²];v:NUMBER[m/s];u:NUMBER[m/s];t:NUMBER[s]	a:NUMBER;v:NUMBER;u:NUMBER;t:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-density	Density	PHYSICS	Physics	Mechanics	FormulaSolver	FORMULA	rho:NUMBER[kg/m³];m:NUMBER[kg];V:NUMBER[m³]	rho:NUMBER;m:NUMBER;V:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-electrical-power	Electrical Power	PHYSICS	Physics	Electricity	FormulaSolver	FORMULA	P:NUMBER[W];V:NUMBER[V];I:NUMBER[A]	P:NUMBER;V:NUMBER;I:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	
physics-force	Force	PHYSICS	Physics	Mechanics	FormulaSolver	FORMULA	F:NUMBER[N];m:NUMBER[kg];a:NUMBER[m/s²]	F:NUMBER;m:NUMBER;a:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-frequency-period	Frequency / Period	PHYSICS	Physics	Waves	FormulaSolver	FORMULA	f:NUMBER[Hz];T:NUMBER[s]	f:NUMBER;T:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-heat-energy	Heat Energy	PHYSICS	Physics	Thermal	FormulaSolver	FORMULA	Q:NUMBER[J];m:NUMBER[kg];c:NUMBER[J/(kg·K)];dT:NUMBER[K]	Q:NUMBER;m:NUMBER;c:NUMBER;dT:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-ideal-lens	Thin Lens	PHYSICS	Physics	Optics	FormulaSolver	FORMULA	f:NUMBER[m];do:NUMBER[m];di:NUMBER[m]	f:NUMBER;do:NUMBER;di:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-impulse	Impulse	PHYSICS	Physics	Mechanics	FormulaSolver	FORMULA	J:NUMBER[N·s];F:NUMBER[N];t:NUMBER[s]	J:NUMBER;F:NUMBER;t:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-kinetic-energy	Kinetic Energy	PHYSICS	Physics	Energy	FormulaSolver	FORMULA	KE:NUMBER[J];m:NUMBER[kg];v:NUMBER[m/s]	KE:NUMBER;m:NUMBER;v:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-momentum	Momentum	PHYSICS	Physics	Mechanics	FormulaSolver	FORMULA	p:NUMBER[kg·m/s];m:NUMBER[kg];v:NUMBER[m/s]	p:NUMBER;m:NUMBER;v:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-ohms-law	Ohm's Law	PHYSICS	Physics	Electricity	FormulaSolver	FORMULA	V:NUMBER[V];I:NUMBER[A];R:NUMBER[Ω]	V:NUMBER;I:NUMBER;R:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	ohm|ohms law
physics-potential-energy	Gravitational Potential Energy	PHYSICS	Physics	Energy	FormulaSolver	FORMULA	PE:NUMBER[J];m:NUMBER[kg];g:NUMBER[m/s²];h:NUMBER[m]	PE:NUMBER;m:NUMBER;g:NUMBER;h:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-power-work-time	Power	PHYSICS	Physics	Energy	FormulaSolver	FORMULA	P:NUMBER[W];W:NUMBER[J];t:NUMBER[s]	P:NUMBER;W:NUMBER;t:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-pressure	Pressure	PHYSICS	Physics	Mechanics	FormulaSolver	FORMULA	p:NUMBER[Pa];F:NUMBER[N];A:NUMBER[m²]	p:NUMBER;F:NUMBER;A:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-speed	Speed / Distance / Time	PHYSICS	Physics	Motion	FormulaSolver	FORMULA	v:NUMBER[m/s];d:NUMBER[m];t:NUMBER[s]	v:NUMBER;d:NUMBER;t:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-torque	Torque	PHYSICS	Physics	Rotation	FormulaSolver	FORMULA	tau:NUMBER[N·m];F:NUMBER[N];r:NUMBER[m]	tau:NUMBER;F:NUMBER;r:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-wave-speed	Wave Speed	PHYSICS	Physics	Waves	FormulaSolver	FORMULA	v:NUMBER[m/s];f:NUMBER[Hz];lambda:NUMBER[m]	v:NUMBER;f:NUMBER;lambda:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
physics-work	Work	PHYSICS	Physics	Energy	FormulaSolver	FORMULA	W:NUMBER[J];F:NUMBER[N];d:NUMBER[m]	W:NUMBER;F:NUMBER;d:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
polynomial-division	Polynomial Division	MATH	Algebra	Polynomials	PolynomialSolver	POLYNOMIAL	dividend:DATASET;divisor:DATASET	quotient:DATASET;remainder:DATASET	false		false	OFFLINE_FULL	NONE	SAVE	1	long polynomial division
polynomial-roots	Polynomial Roots	MATH	Algebra	Polynomials	PolynomialSolver	POLYNOMIAL	coefficients:DATASET	roots:ROOTS	false		false	OFFLINE_FULL	NONE	SAVE	1	higher degree solver|roots of polynomial
prime-factorization	Prime Factorization	MATH	Arithmetic	Integers	FormulaSolver	MATH_UTILITY	value:INTEGER	factors:TEXT	false		false	OFFLINE_FULL	NONE	SAVE	1	factorization|prime factors
programmer-calculator	Programmer Calculator	COMPUTER	Programmer	Integer bases and bitwise operations	ProgrammerCalculator	PROGRAMMER	expression:EXPRESSION;bitWidth:SELECT?{8,16,32,64};signedness:SELECT?{signed,unsigned}	result:STRUCTURED	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	binary calculator|bitwise calculator|hex calculator
quadratic-solver	Quadratic Equation Solver	MATH	Algebra	Quadratic equations	EquationSolver	POLYNOMIAL	a:NUMBER;b:NUMBER;c:NUMBER;rhs:NUMBER?	roots:ROOTS;discriminant:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	quadratic|quadratic roots|second degree equation
quartic-solver	Quartic Equation Solver	MATH	Algebra	Quartic equations	PolynomialSolver	POLYNOMIAL	a:NUMBER;b:NUMBER;c:NUMBER;d:NUMBER;e:NUMBER;rhs:NUMBER?	roots:ROOTS	false		false	OFFLINE_FULL	NONE	SAVE	1	fourth degree equation|quartic
range	Range	STATISTICS	Descriptive Statistics	Dataset	StatisticsTool	STATISTICS	data:DATASET;operation:SELECT?{range}	result:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	
ratio-proportion	Proportion Solver	MATH	Arithmetic	Ratios and proportions	FormulaSolver	FORMULA	a:NUMBER;b:NUMBER;c:NUMBER;d:NUMBER	a:NUMBER;b:NUMBER;c:NUMBER;d:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	proportion|ratio solver
scientific-calculator	Scientific Calculator	MATH	Scientific	Scientific calculation	ScientificCalculator	EXPRESSION	expression:EXPRESSION	result:NUMBER	true	LARGE,MEDIUM	true	OFFLINE_FULL	NONE	SAVE	1	sci calc|scientific
split-bill	Split Bill	FINANCE	Everyday Finance	Bill sharing	FinanceTool	FINANCE	bill:NUMBER;tip:NUMBER?;people:INTEGER	total:NUMBER;perPerson:NUMBER	true	LARGE,MEDIUM	false	OFFLINE_FULL	NONE	SAVE	1	bill split
standard-calculator	Standard Calculator	MATH	Arithmetic	General calculation	StandardCalculator	EXPRESSION	expression:EXPRESSION	result:NUMBER	true	LARGE,MEDIUM,SMALL	true	OFFLINE_FULL	NONE	SAVE	1	basic calculator|calculator|standard
standard-deviation	Standard Deviation	STATISTICS	Descriptive Statistics	Dataset	StatisticsTool	STATISTICS	data:DATASET;operation:SELECT?{stddev}	result:NUMBER	false		false	OFFLINE_FULL	NONE	SAVE	1	std|stddev
